longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.36,33.99,30.0,1107.0,183.0,865.0,173.0,4.8438,253900.0,<1H OCEAN
-116.43,33.78,8.0,398,92.0,283,94.0,5.4156,193800.0,<1H OCEAN
-118.46,34.07,51.0,1813.0,354.0,993.0,354.0,3.3892,303800.0,<1H OCEAN
-120.74,37.69,25.0,655,202.0,464,172,2.08,108000.0,<1H OCEAN
-116.65,34.08,11.0,7312.0,1602.0,4947.0,1537.0,3.2526,164400.0,<1H OCEAN
-119.44,36.36,21.0,2729.0,587.0,1527.0,534.0,1.9676,72900.0,<1H OCEAN
-118.08,33.87,45.0,4000.0,1100.0,2301,1048,4.1364,188500.0,<1H OCEAN
-120.48,34.65,44.0,1492,255,839,247,3.2813,155800.0,<1H OCEAN
-121.02,38.93,29.0,1945.0,421.0,1369.0,422.0,3.4592,73200.0,<1H OCEAN
-118.21,33.91,23.0,837.0,224.0,611.0,216.0,3.2139,193900.0,<1H OCEAN
-121.85,36.65,17.0,1430.0,280.0,811.0,285.0,3.059,115200.0,NEAR OCEAN
-124.17,40.53,36.0,504.0,98.0,334.0,107.0,3.5859,84400.0,INLAND
-117.23,32.71,19.0,866,261,935,254,4.1972,230500.0,<1H OCEAN
-119.45,36.99,25.0,4046.0,765.0,1589.0,750.0,4.1729,205000.0,<1H OCEAN
-122.05,37.31,28.0,1327.0,235.0,710,214,3.8301,301000.0,<1H OCEAN
-117.12,32.63,35.0,2120.0,429.0,1463.0,488.0,3.5572,166400.0,<1H OCEAN
-117.35,34.08,45.0,1253.0,341.0,1015.0,327.0,3.3962,165800.0,<1H OCEAN
-121.93,36.61,29.0,2344.0,403.0,1269.0,405.0,3.7794,137600.0,<1H OCEAN
-122.35,37.78,41.0,1544,246.0,631,236.0,4.1625,152500.0,<1H OCEAN
-118.31,33.91,28.0,4974.0,858.0,2233,846,2.4765,133500.0,<1H OCEAN
-119.06,35.32,18.0,2183.0,388.0,1005.0,357.0,4.2361,123600.0,<1H OCEAN
-118.38,34.06,52.0,1162.0,190.0,415.0,156.0,4.0744,216100.0,<1H OCEAN
-122.1,38.93,28.0,5160.0,1154.0,3741.0,1133.0,3.7875,132300.0,<1H OCEAN
-117.18,32.72,38.0,3070.0,607.0,2420.0,585.0,2.6518,74400.0,<1H OCEAN
-121.88,37.67,22.0,1040.0,210.0,408.0,201.0,7.3034,366300.0,<1H OCEAN
-122.3,37.95,35.0,1095.0,281.0,799.0,281.0,3.2938,150400.0,INLAND
-123.16,40.67,36.0,3565.0,702.0,1343.0,631,3.6538,212500.0,<1H OCEAN
-122.09,37.69,28.0,5856.0,1041.0,3980.0,969.0,3.0717,159100.0,NEAR BAY.
-121.24,38.68,13.0,2741.0,584.0,1695.0,548.0,4.7813,157100.0,<1H OCEAN
-118.33,35.0,18.0,1598.0,297.0,933.0,280.0,4.3472,191900.0,<1H OCEAN
-117.01,32.92,7.0,1438.0,241.0,725.0,224.0,5.6385,227900.0,<1H OCEAN
-118.36,33.87,39.0,1387.0,345.0,1223.0,332.0,2.3854,144100.0,<1H OCEAN
-121.82,37.36,42.0,1511.0,358.0,1207.0,330.0,3.0596,85500.0,<1H OCEAN
-119.69,36.79,24.0,950.0,222.0,628.0,211.0,6.6214,268500.0,<1H OCEAN
-121.53,38.59,52.0,2404.0,593.0,2285.0,570.0,4.4028,94300.0,INLAND
-119.48,37.76,52.0,291.0,60.0,157,64,1.3333,50001.0,<1H OCEAN
-120.9,38.49,22.0,4338.0,836.0,1960,769,2.5948,136600.0,<1H OCEAN
-122.54,37.77,52.0,1657.0,560.0,1983.0,536.0,1.6238,81900.0,NEAR BAY
-118.29,34.09,17.0,3564.0,708.0,2387.0,694.0,3.2012,366700.0,<1H OCEAN
-121.09,39.48,22.0,1765.0,331.0,919.0,294.0,3.4741,93800.0,INLAND
-118.48,34.08,24.0,4003.0,844.0,2464.0,849.0,4.0986,191100.0,<1H OCEAN
-122.09,37.74,52.0,1627.0,235.0,872.0,221.0,3.9125,241500.0,<1H OCEAN
-118.41,34.19,21.0,3369.0,505.0,1467.0,469.0,5.2497,270000.0,<1H OCEAN
-117.34,34.17,16.0,2082.0,405.0,1365.0,372.0,2.17,94400.0,<1H OCEAN
-120.81,37.48,38.0,3298.0,608.0,1541.0,634.0,2.4156,75000.0,<1H OCEAN
-120.9,37.54,16.0,1429.0,322.0,677.0,308.0,3.1597,85100.0,<1H OCEAN
-118.4,34.13,34,4946,1454,3069,1375,2.7464,114600.0,<1H OCEAN
-121.51,39.12,15.0,331,71.0,250,67,4.4774,109800.0,<1H OCEAN
-119.55,36.57,37.0,1309.0,395.0,862.0,378.0,3.1579,73100.0,<1H OCEAN
-121.96,37.58,15.0,2843.0,578.0,1748.0,566.0,7.9782,266200.0,<1H OCEAN
-118.28,33.96,33.0,800,202.0,693.0,196.0,2.6714,155500.0,<1H OCEAN
-117.98,33.89,30.0,1511.0,282.0,652.0,293.0,4.0011,142500.0,<1H OCEAN
-120.69,37.37,23.0,921.0,209.0,717.0,182.0,2.9141,94100.0,<1H OCEAN
-118.17,33.88,35.0,1570,305.0,1048,282,3.375,237500.0,<1H OCEAN
-120.87,37.37,16.0,2324.0,407.0,878.0,375.0,4.6146,193100.0,<1H OCEAN
-117.69,33.56,20.0,1191.0,204.0,624.0,213.0,1.9141,500001.0,<1H OCEAN
-117.05,32.75,36.0,2283.0,459.0,1320.0,399.0,4.6111,170800.0,<1H OCEAN
-119.45,34.41,17.0,1801.0,274.0,791.0,267.0,2.0179,178900.0,<1H OCEAN
-119.02,35.32,27.0,2121.0,375.0,842.0,352.0,3.0107,"201,200.0",<1H OCEAN
-119.7,34.42,33.0,1518.0,515.0,1503.0,496.0,1.6731,92100.0,<1H OCEAN
-119.29,34.31,30.0,1742.0,461.0,1732.0,503.0,1.6219,86100.0,<1H OCEAN
-116.71,34.02,17.0,3970.0,757.0,2848.0,697.0,4.1528,187200.0,<1H OCEAN
-122.25,37.85,52.0,2242.0,435.0,1750.0,417.0,3.3958,238500.0,<1H OCEAN
-122.14,37.4,13.0,2562,599,2021,538,3.6042,165200.0,NEAR BAY
-117.07,33.01,53.0,2723.0,657.0,1741.0,630.0,2.5304,192900.0,<1H OCEAN
-124.05,40.86,27.0,337.0,82.0,253.0,76.0,2.7174,37500.0,<1H OCEAN
-119.92,37.57,34.0,2978.0,438.0,1565.0,404.0,3.6981,112500.0,<1H OCEAN
-118.47,34.24,22.0,1253,487.0,1962,481,2.3625,213200.0,<1H OCEAN
-117.89,34.15,33.0,6062.0,916.0,2521.0,839.0,4.7545,203500.0,<1H OCEAN
-119.01,36.0,24.0,926,197,742,186,2.1333,86000.0,<1H OCEAN
-118.33,35.35,28.0,5667.0,1049.0,3407.0,958.0,3.0573,246700.0,<1H OCEAN
-117.69,34.06,27.0,2971.0,826.0,2114.0,782.0,4.9056,215800.0,<1H OCEAN
-118.32,34.13,29.0,1748.0,383.0,1015,358,3.30833466687954,432200.0,<1H OCEAN
-119.04,34.29,19.0,659.0,143.0,475.0,136.0,3.3058,97200.0,<1H OCEAN
-118.7,34.18,45.0,1866.0,1098.0,3858.0,1069.0,3.9722,170100.0,<1H OCEAN
-118.37,33.86,50.0,1178.0,239.0,733.0,170.0,3.938,234300.0,<1H OCEAN
-121.44,38.62,33.0,2264.0,410.0,1135.0,383.0,3.575,223300.0,<1H OCEAN
-117.16,34.17,28.0,1734,500.0,1550,472,1.9659,80000.0,<1H OCEAN
-122.24,37.47,41.0,880.0,129.0,322.0,126.0,5.4016,293600.0,NEAR BAY
-117.11,32.59,12.0,4199.0,678.0,2414.0,648.0,4.4843,143600.0,<1H OCEAN
-118.03,34.07,18.0,1514.0,478.0,1460.0,442.0,5.3169,273600.0,<1H OCEAN
-118.16,34.03,44.0,1892.0,306.0,1257.0,282.0,3.9861,393500.0,<1H OCEAN
-121.74,38.53,10.0,4719.0,859.0,2530.0,778.0,5.3605,378400.0,<1H OCEAN
-119.04,35.32,18.0,1272.0,249.0,696.0,234,4.711,230600.0,<1H OCEAN
-117.04,32.71,42.0,1960.0,361.0,998.0,337.0,4.8224,195200.0,<1H OCEAN
-117.15,32.79,10.0,695,119,390,118,4.9844,138100.0,<1H OCEAN
-120.98,38.91,13.0,4539.0,936.0,3206.0,861.0,3.7969,81300.0,<1H OCEAN
-121.89,37.33,17.0,2688.0,494.0,1675.0,433.0,8.0587,445600.0,<1H OCEAN
-121.92,37.24,33.0,2402.0,475.0,1459,466,3.2102,155100.0,<1H OCEAN
-117.19,32.75,45.0,4764,868,2322,830,2.9032,85100.0,<1H OCEAN
-117.36,34.10,16.0,1077.0,243.0,932.0,230,3.7125,219200.0,<1H OCEAN
-118.25,33.82,36.0,2675.0,719.0,2415.0,685.0,4.8421,298700.0,<1H OCEAN
-122.23,37.41,43.0,2515.0,602.0,1537.0,542.0,4.4896,301600.0,<1H OCEAN
-121.14,38.83,50.0,819.0,200.0,548.0,191.0,3.6462,203900.0,<1H OCEAN
-121.98,37.35,15.0,3055,463,1423,460,2.9344,100900.0,NEAR BAY
-117.28,33.03,15.0,5995.0,1038.0,2459.0,981.0,4.2324,202100.0,<1H OCEAN
-121.03,37.67,15.0,3725.0,747.0,1865.0,722.0,4.1815,211900.0,<1H OCEAN
-122.11,37.43,25.0,2202.0,331.0,859.0,324.0,4.8182,261900.0,NEAR BAY
-117.45,34.0,33.0,1932.0,351.0,1655.0,293.0,5.2438,209600.0,<1H OCEAN
-118.42,34.23,34.0,2974.0,563.0,2238.0,535.0,4.311,306300.0,<1H OCEAN
-119.25,34.29,30.0,3891.0,687.0,1986.0,534.0,3.1136,94800.0,<1H OCEAN
-117.97,33.84,14.0,2891.0,198.0,370.0,191.0,4.375,187700.0,<1H OCEAN
-119.01,35.37,25.0,2175.0,361.0,1022.0,351.0,1.536,91800.0,<1H OCEAN
